查询,正确标准编号,正确条款,正确片段编号,核对人
1926.1408,1926.1408,1926.1408,chunk_02439,刘诗曼
1926.1409,1926.1409,1926.1409,chunk_02493,刘诗曼
1926.141,1926.141,1926.141,chunk_02496,刘诗曼
1926.1411,1926.1411,1926.1411,chunk_02535,刘诗曼
1926.1412,1926.1412,1926.1412,chunk_02548,刘诗曼
1926.1413,1926.1413,1926.1413,chunk_02652,刘诗曼
1926.1414,1926.1414,1926.1414,chunk_02713,刘诗曼
1926.1415,1926.1415,1926.1415,chunk_02749,刘诗曼
1926.1416,1926.1416,1926.1416,chunk_02764,刘诗曼
1926.1417,1926.1417,1926.1417,chunk_02799,刘诗曼
1926.1418,1926.1418,1926.1418,chunk_02855,刘诗曼
1926.1419,1926.1419,1926.1419,chunk_02856,刘诗曼
1926.142,1926.142,1926.142,chunk_02879,刘诗曼
1926.1421,1926.1421,1926.1421,chunk_02885,刘诗曼
1926.1422,1926.1422,1926.1422,chunk_02889,刘诗曼
1926.1423,1926.1423,1926.1423,chunk_02890,刘诗曼
1926.1424,1926.1424,1926.1424,chunk_02939,刘诗曼
1926.1425,1926.1425,1926.1425,chunk_02951,刘诗曼
1926.1426,1926.1426,1926.1426,chunk_02965,刘诗曼
1926.1427,1926.1427,1926.1427,chunk_02991,刘诗曼
1926.1428,1926.1428,1926.1428,chunk_03100,刘诗曼
1926.1429,1926.1429,1926.1429,chunk_03112,刘诗曼
1926.143,1926.143,1926.143,chunk_03119,刘诗曼
1926.1431,1926.1431,1926.1431,chunk_03135,刘诗曼
1926.1432,1926.1432,1926.1432,chunk_03312,刘诗曼
1926.1433,1926.1433,1926.1433,chunk_03320,刘诗曼
1926.1434,1926.1434,1926.1434,chunk_03395,刘诗曼
1926.1435,1926.1435,1926.1435,chunk_03411,刘诗曼
1926.1436,1926.1436,1926.1436,chunk_03487,刘诗曼
1926.1437,1926.1437,1926.1437,chunk_03612,刘诗曼
1926.1438,1926.1438,1926.1438,chunk_03717,刘诗曼
1926.1439,1926.1439,1926.1439,chunk_03728,刘诗曼
1926.144,1926.144,1926.144,chunk_03733,刘诗曼
1926.1441,1926.1441,1926.1441,chunk_03749,刘诗曼
1926.1442,1926.1442,1926.1442,chunk_03779,刘诗曼
1926.1443,1926.1443,1926.1443,chunk_03792,刘诗曼
1926.5,1926.5,1926.5,chunk_03793,刘诗曼
1926.501,1926.501,1926.501,chunk_03814,刘诗曼
1926.502,1926.502,1926.502,chunk_03849,刘诗曼
1926.95,1926.95,1926.95,chunk_04010,刘诗曼
1926.951,1926.951,1926.951,chunk_04058,刘诗曼
1926.952,1926.952,1926.952,chunk_04063,刘诗曼
1926.953,1926.953,1926.953,chunk_04077,刘诗曼
1926.954,1926.954,1926.954,chunk_04093,刘诗曼
1926.955,1926.955,1926.955,chunk_04144,刘诗曼
1926.956,1926.956,1926.956,chunk_04152,刘诗曼
1926.957,1926.957,1926.957,chunk_04172,刘诗曼
1926.958,1926.958,1926.958,chunk_04191,刘诗曼
1926.959,1926.959,1926.959,chunk_04198,刘诗曼
1926.96,1926.96,1926.96,chunk_04219,刘诗曼
1926.961,1926.961,1926.961,chunk_04285,刘诗曼
1926.962,1926.962,1926.962,chunk_04316,刘诗曼
1926.963,1926.963,1926.963,chunk_04334,刘诗曼
1926.964,1926.964,1926.964,chunk_04374,刘诗曼
1926.965,1926.965,1926.965,chunk_04435,刘诗曼
1926.966,1926.966,1926.966,chunk_04453,刘诗曼
1926.967,1926.967,1926.967,chunk_04476,刘诗曼
1926.968,1926.968,1926.968,chunk_04506,刘诗曼
