"Path","Size","MTime"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_数据审计\规模处理审计.json","462","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_数据审计\连接与去重审计.json","764","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_数据审计\时间切分审计.csv","3654","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_数据审计\图2_样本筛选流程.svg","46865","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_数据审计\学生1_数据审计说明.md","3521","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_数据审计\样本排除流.csv","289","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_数据审计\字段与规则快照.json","1717","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_验证\calibration_bins.csv","1325","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_验证\environment_versions.json","160","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_验证\frozen_config.json","3475","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_验证\frozen_manifest.json","6236","2026-08-19 16:19:30"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_验证\frozen_model.joblib","14714","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_验证\model_freeze_record.json","503","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_验证\model_selection.json","1197","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_验证\test_prediction_commitment.json","743","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_验证\test_predictions_sealed.csv","118077","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_验证\validation_predictions.csv","69564","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_验证\validation_quarter_metrics.csv","1650","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_验证\validation_summary.csv","405","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_正式测试\bootstrap_ci.csv","297","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_正式测试\calibration_bins.csv","1593","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_正式测试\README_正式测试结果说明.md","461","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_正式测试\test_maturity_by_quarter.csv","531","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_正式测试\test_quarter_metrics.csv","2608","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\结果_正式测试\test_summary.csv","407","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\任务文档\00_五人正式项目总任务书.md","15748","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\任务文档\05_学生4任务卡_模型与评价.md","8924","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\任务文档\07_共同验收与交接规则.md","10327","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\数据_分析数据\feature_dictionary.csv","7496","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\数据_分析数据\historical_inspection_outcomes.csv","2555761","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\数据_分析数据\inspection_clean.csv","4231901","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\数据_分析数据\inspection_episode.csv","1108358","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\数据_分析数据\profiles_train_val.csv","1275842","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\数据_分析数据\README_分析数据说明.md","377","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student1\student1\数据_分析数据\violation_clean.csv","3143120","2026-08-18 15:15:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\交付_学生4.zip","14029504","2026-08-24 11:15:21"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\交付学生4.zip","834411","2026-08-22 13:50:07"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\benchmark_cases.jsonl","8578444","2026-08-24 11:15:02"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\red_team_cases.jsonl","354315","2026-08-24 11:15:00"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2_1609.zip","14029504","2026-08-24 16:00:23"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\风险分类.csv","3307602","2026-08-18 14:13:10"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\检索程序接入说明_学生4.md","3692","2026-08-20 15:32:50"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\交付_学生4\交付_学生4\学生4检索程序接入指南.md","7779","2026-08-21 14:29:14"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\交付_学生4\交付_学生4\knowledge\chunks\regulation_chunks.jsonl","2818902","2026-08-19 17:15:08"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\交付_学生4\交付_学生4\knowledge\retrieval_gold.csv","4530","2026-08-20 09:27:56"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\交付_学生4\交付_学生4\knowledge\vector_db\chunk_ids.json","69840","2026-08-21 13:55:46"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\交付_学生4\交付_学生4\knowledge\vector_db\db_meta.json","381","2026-08-21 13:55:46"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\交付_学生4\交付_学生4\knowledge\vector_db\embeddings.npy","7151744","2026-08-21 13:55:46"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\交付_学生4\交付_学生4\knowledge\vector_db\faiss_index.bin","7151661","2026-08-21 13:55:46"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\交付_学生4\交付_学生4\src\retrieval\rag_retriever.py","9185","2026-08-21 14:18:14"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\document_inventory.csv","69629","2026-08-19 17:45:38"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\knowledge_manifest.json","1119","2026-08-20 09:55:30"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\regulation_chunks.jsonl","2818902","2026-08-19 17:15:08"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\retrieval_gold.csv","4530","2026-08-20 09:27:56"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student2\student2\standard_document_mapping.csv","631975","2026-08-19 17:15:08"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student3\阶段4学生3交付给学生4\agent_profile_whitelist.json","7134","2026-08-20 15:03:24"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student3\阶段4学生3交付给学生4\feature_dictionary.csv","13395","2026-08-19 18:05:38"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student3\阶段4学生3交付给学生4\profile_definition_manifest.json","5779","2026-08-19 17:59:28"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student3\阶段4学生3交付给学生4\profile_recalculation_audit.csv","4889","2026-08-20 14:47:28"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student3\阶段4学生3交付给学生4\profiles_train_val.csv","1445336","2026-08-20 12:30:56"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student3\阶段4学生3交付给学生4\temporal_leakage_audit.json","2443","2026-08-20 14:41:56"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student3\benchmark_cases.jsonl","8541085","2026-08-22 16:28:21"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student3\benchmark_gold_restricted.jsonl","13139214","2026-08-24 14:01:45"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student3\benchmark_manifest.json","7595","2026-08-24 14:01:46"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\from_student3\red_team_cases.jsonl","352635","2026-08-22 16:28:15"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\qwen_operate.md","4747","2026-08-22 11:33:39"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\RiskProfile_Agent_研究方案.docx","134944","2026-08-19 10:27:14"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\RiskProfile_Agent_研究方案.md","58714","2026-08-19 13:45:42"
"G:\Projects\intern_project\CahngeDirect_eassy\origin_data\RiskProfile_Agent.md","4893","2026-08-18 16:14:20"
