classification_record_id,数据快照,分类规则版本,standard原值,standard规范值,viol_type,citation汇总数,当前删除状态汇总数,官方标准说明入口,初分人员,初分主类,初分副类1,初分副类2,初分命中规则编号,初分信心,初分是否不确定,初分不确定原因,初分依据,复核人员,复核主类,复核副类1,复核副类2,复核命中规则编号,复核信心,复核是否不确定,复核不确定原因,复核依据,是否主类一致,是否全部一致,最终主类,最终副类1,最终副类2,裁定命中规则编号,裁定依据,裁定人,专业复核人,是否Other或Unmapped,未映射原因,初分文件SHA256,复核文件SHA256,初分日期,复核日期,裁定日期,状态,备注
C000034,,v6-OSHA官网验证版,0320025002,0320025002,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320025002,非目标标准体系: 0320025002,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000035,,v6-OSHA官网验证版,0320025009 C,0320025009 C,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320025009 C,非目标标准体系: 0320025009 C,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000036,,v6-OSHA官网验证版,0320025009 D,0320025009 D,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320025009 D,非目标标准体系: 0320025009 D,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000037,,v6-OSHA官网验证版,032002500901,032002500901,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 032002500901,非目标标准体系: 032002500901,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000038,,v6-OSHA官网验证版,032002500905,032002500905,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 032002500905,非目标标准体系: 032002500905,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000039,,v6-OSHA官网验证版,0320026001,0320026001,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320026001,非目标标准体系: 0320026001,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000040,,v6-OSHA官网验证版,0320026001,0320026001,R,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320026001,非目标标准体系: 0320026001,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000041,,v6-OSHA官网验证版,0320026002,0320026002,O,10,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320026002,非目标标准体系: 0320026002,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000042,,v6-OSHA官网验证版,0320026002,0320026002,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320026002,非目标标准体系: 0320026002,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000043,,v6-OSHA官网验证版,0320026004,0320026004,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320026004,非目标标准体系: 0320026004,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000044,,v6-OSHA官网验证版,0320027001,0320027001,O,2,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320027001,非目标标准体系: 0320027001,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000045,,v6-OSHA官网验证版,0320027001,0320027001,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320027001,非目标标准体系: 0320027001,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000046,,v6-OSHA官网验证版,0320028009,0320028009,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320028009,非目标标准体系: 0320028009,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000047,,v6-OSHA官网验证版,0320029003 C,0320029003 C,S,4,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320029003 C,非目标标准体系: 0320029003 C,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000048,,v6-OSHA官网验证版,0320029003 D,0320029003 D,O,4,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320029003 D,非目标标准体系: 0320029003 D,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000049,,v6-OSHA官网验证版,0320029003 F,0320029003 F,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320029003 F,非目标标准体系: 0320029003 F,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000050,,v6-OSHA官网验证版,032002900306,032002900306,O,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 032002900306,非目标标准体系: 032002900306,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
C000051,,v6-OSHA官网验证版,0320029004 A,0320029004 A,S,1,0,,刘诗曼,R1,,,R1,高,否,,加州8CCR 0320 高压电气,冯婧,R9,NA,NA,R9,低,是,非1910/1926/1904/1903系列: 0320029004 A,非目标标准体系: 0320029004 A,否,否,R1,,,R1,维持初分；初分依据基于OSHA官网Subpart映射/Cornell Law加州8CCR,刘诗曼,,否,,,d3a34e3041b849dade605763144c18860e7c00f7f6ddfd2eb0e2f7cf48420556,2026/8/18,2026/8/18,2026/8/18,已裁定,
